CustomerID,Термін (міс),Місячна оплата,Загальна оплата,Дзвінки підтримки,Тип договору,Інтернет,Онлайн-захист,Пенсіонер,Відтік
CUS0001,52,81.15,4219.87,6,Один рік,DSL,0,0,1
CUS0002,15,28.16,422.39,9,Два роки,DSL,0,0,0
CUS0003,61,20.52,1251.63,2,Два роки,Оптоволокно,0,0,1
CUS0004,21,82.79,1738.58,0,Місяць-до-місяця,Оптоволокно,1,0,0
CUS0005,24,39.43,946.26,4,Місяць-до-місяця,DSL,1,1,1
CUS0006,3,27.09,81.28,3,Два роки,Немає,1,0,1
CUS0007,22,59.68,1312.92,9,Два роки,DSL,1,0,1
CUS0008,53,25.08,1329.07,7,Місяць-до-місяця,DSL,0,0,1
CUS0009,2,108.66,217.32,0,Два роки,Оптоволокно,0,0,1
CUS0010,30,22.76,682.85,9,Два роки,Оптоволокно,1,0,1
CUS0011,38,77.89,2959.69,0,Один рік,Оптоволокно,1,0,0
CUS0012,2,63.85,127.69,3,Один рік,DSL,0,0,1
CUS0013,64,87.2,5580.97,7,Місяць-до-місяця,Немає,0,0,1
CUS0014,60,52.82,3168.92,4,Місяць-до-місяця,DSL,1,0,0
CUS0015,21,35.5,745.59,1,Місяць-до-місяця,DSL,1,0,1
CUS0016,33,118.18,3900.07,5,Два роки,Немає,1,0,0
CUS0017,58,103.89,6025.81,4,Місяць-до-місяця,Немає,1,0,0
CUS0018,22,106.04,2332.89,1,Місяць-до-місяця,Немає,0,0,1
CUS0019,49,45.03,2206.23,2,Місяць-до-місяця,Немає,0,1,0
CUS0020,59,23.88,1409.12,8,Один рік,Оптоволокно,0,0,0
CUS0021,42,50.33,2113.72,6,Два роки,Оптоволокно,1,0,1
CUS0022,60,73.71,4422.49,6,Місяць-до-місяця,DSL,1,0,1
CUS0023,15,52.67,789.98,5,Місяць-до-місяця,Оптоволокно,0,0,1
CUS0024,62,102.79,6372.79,7,Один рік,DSL,0,0,0
CUS0025,62,47.15,2923.57,3,Місяць-до-місяця,DSL,0,0,1
CUS0026,47,116.53,5476.68,7,Місяць-до-місяця,Оптоволокно,0,0,1
CUS0027,62,65.73,4075.04,3,Місяць-до-місяця,Оптоволокно,1,0,0
CUS0028,51,104.2,5314.32,7,Місяць-до-місяця,DSL,0,0,0
CUS0029,55,39.44,2169.09,8,Місяць-до-місяця,DSL,0,0,0
CUS0030,64,61.14,3912.66,2,Місяць-до-місяця,Оптоволокно,0,1,1
CUS0031,3,89.95,269.85,2,Місяць-до-місяця,DSL,0,0,0
CUS0032,51,33.84,1725.6,1,Два роки,Немає,0,0,0
CUS0033,7,33.27,232.92,9,Місяць-до-місяця,Оптоволокно,0,0,1
CUS0034,21,116.95,2456.03,2,Один рік,Оптоволокно,0,0,1
CUS0035,39,91.46,3566.92,2,Один рік,Оптоволокно,1,0,0
CUS0036,18,24.11,433.92,4,Місяць-до-місяця,Немає,1,0,0
CUS0037,4,59.88,239.53,4,Один рік,DSL,1,1,0
CUS0038,60,63.35,3801.12,1,Місяць-до-місяця,Оптоволокно,1,0,0
CUS0039,14,94.4,1321.66,9,Два роки,Оптоволокно,0,0,1
CUS0040,9,45.09,405.77,5,Місяць-до-місяця,DSL,1,0,1
CUS0041,53,38.43,2036.97,4,Місяць-до-місяця,Немає,1,0,0
CUS0042,2,28.09,56.17,5,Місяць-до-місяця,Оптоволокно,0,0,1
CUS0043,60,62.83,3769.89,0,Два роки,Оптоволокно,0,0,0
CUS0044,71,88.85,6308.35,4,Один рік,Немає,1,0,0
CUS0045,44,25.82,1136.05,8,Один рік,Немає,1,1,0
CUS0046,8,111.52,892.17,9,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0047,47,64.24,3019.06,1,Один рік,Немає,1,0,0
CUS0048,35,43.98,1539.26,0,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0049,36,29.39,1057.94,9,Два роки,Оптоволокно,0,0,0
CUS0050,50,38.29,1914.33,8,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0051,4,113.46,453.85,9,Місяць-до-місяця,Оптоволокно,0,0,1
CUS0052,2,83.83,167.65,8,Місяць-до-місяця,DSL,1,0,1
CUS0053,6,71.67,430.02,8,Місяць-до-місяця,Немає,0,0,1
